,title,artist
0,Last Night,Morgan Wallen
1,Kill Bill,SZA
2,Flowers,Miley Cyrus
3,Ella Baila Sola,Eslabon Armado X Peso Pluma
4,Un x100to,Grupo Frontera X Bad Bunny
5,Calm Down,Rema & Selena Gomez
6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
7,Die For You,The Weeknd & Ariana Grande
8,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
9,Anti-Hero,Taylor Swift
10,La Bebe,Yng Lvcas x Peso Pluma
11,Search & Rescue,Drake
12,Favorite Song,Toosii
13,Fast Car,Luke Combs
14,Sure Thing,Miguel
15,Players,Coi Leray
16,Rock And A Hard Place,Bailey Zimmerman
17,Double Fantasy,The Weeknd Featuring Future
18,You Proof,Morgan Wallen
19,As It Was,Harry Styles
20,Chemical,Post Malone
21,One Thing At A Time,Morgan Wallen
22,Thinkin' Bout Me,Morgan Wallen
23,Thought You Should Know,Morgan Wallen
24,I'm Good (Blue),David Guetta & Bebe Rexha
25,Something In The Orange,Zach Bryan
26,Thank God,Kane Brown With Katelyn Brown
27,Por Las Noches,Peso Pluma
28,Princess Diana,Ice Spice & Nicki Minaj
29,Escapism,RAYE Featuring 070 Shake
30,Under The Influence,Chris Brown
31,Dancin' In The Country,Tyler Hubbard
32,PRC,Peso Pluma X Natanael Cano
33,Slut Me Out,NLE Choppa
34,Lavender Haze,Taylor Swift
35,Handle On You,Parker McCollum
36,Unholy,Sam Smith & Kim Petras
37,Snooze,SZA
38,Just Wanna Rock,Lil Uzi Vert
39,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
40,Cupid,Fifty Fifty
41,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
42,TQG,Karol G x Shakira
43,Wait In The Truck,HARDY Featuring Lainey Wilson
44,Eyes Closed,Ed Sheeran
45,Spin Bout U,Drake & 21 Savage
46,Daylight,David Kushner
47,Rich Flex,Drake & 21 Savage
48,Love You Anyway,Luke Combs
49,Bebe Dame,Fuerza Regida X Grupo Frontera
50,Wild As Her,Corey Kent
51,See You Again,"Tyler, The Creator Featuring Kali Uchis"
52,Tennessee Orange,Megan Moroney
53,Next Thing You Know,Jordan Davis
54,Alone,Kim Petras Featuring Nicki Minaj
55,Chanel,Becky G & Peso Pluma
56,El Azul,Junior H x Peso Pluma
57,Haegeum,Agust D
58,Low Down,Lil Baby
59,Need A Favor,Jelly Roll
60,Bloody Mary,Lady Gaga
61,Peaches,Jack Black
62,Nonsense,Sabrina Carpenter
63,Ain't That Some,Morgan Wallen
64,Fight The Feeling,Rod Wave
65,Red Ruby Da Sleeze,Nicki Minaj
66,Beso,Rosalia & Rauw Alejandro
67,Ch y La Pizza,Fuerza Regida X Natanael Cano
68,Cowgirls,Morgan Wallen Featuring ERNEST
69,I Wrote The Book,Morgan Wallen
70,El Gordo Trae El Mando,Chino Pacas
71,Gold,Dierks Bentley
72,Man Made A Bar,Morgan Wallen Featuring Eric Church
73,Everything I Love,Morgan Wallen
74,Karma,Taylor Swift
75,ICU,Coco Jones
76,Que Vuelvas,Carin Leon X Grupo Frontera
77,Trance,"Metro Boomin, Travis Scott & Young Thug"
78,Yandel 150,Yandel & Feid
79,Igualito A Mi Apa,Fuerza Regida & Peso Pluma
80,In Ha Mood,Ice Spice
81,Fragil,Yahritza y Su Esencia x Grupo Frontera
82,Human,Cody Johnson
83,Painting Pictures,Superstar Pride
84,Never Felt So Alone,Labrinth
85,Dawns,Zach Bryan Featuring Maggie Rogers
86,Ceilings,Lizzy McAlpine
87,Memory Lane,Old Dominion
88,Di Que Si,Grupo Marca Registrada X Grupo Frontera
89,Strike (Holster),Lil Yachty
90,Happy,NF
91,Forever,Lil Baby Featuring Fridayy
92,Moonlight,Kali Uchis
93,Sunrise,Morgan Wallen
94,You Didn't,Brett Young
95,It Matters To Her,Scotty McCreery
96,Like Crazy,Jimin
97,All Of The Girls You Loved Before,Taylor Swift
98,5 Leaf Clover,Luke Combs
99,Big Truck,YoungBoy Never Broke Again
